Exhibition Object Nr,Aisle - Full Name,Cabinet - Full Name,Shelf - Full Name,Box - Full Name,Common name,Prep Type,Weight (g),Mount Description,Condition Summary
SNMexh79916,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Gastropod fossils (Tylostoma ampullariaeforme),geology,27,Rod and Clasp,Three specimens in total. All looking good fresh from field and only to be mentioned; 2023.15 with former mount/wax stuck on bottom and 2023.17 has a de-attached part to be repaired.
SNMexh79917,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Irregular sea urchin fossil (Echinocorys sp.),geology,204,Rod and Clasp,"Specimen in good condition, but grime/soil is visible in the bright impressions in calcite"
SNMexh79918,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Fern fossil (Eboracia lobifolia),geology,470,Rod and Clasp,A thin carbonaceous film on matrix of layered light sedimentary rock.
SNMexh79919,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Silicified tree with excellent rings,geology,3628,Rod and Clasp or Shelf,Fossil tree with minor stable cracking and abrasions. A sturdy specimen with handling marks/appearance. Accretions such as dirt and “finger fats”.
SNMexh79920,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Dragonfly fossil,geology,1610,Rod and Clasp,"Display specimen with nicely cut edges. Several scratches on front of surface. Hairline break through fossil, thick repaired break left corner."
SNMexh79921,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Horseshoe crab fossil,geology,2883,Rod and Clasp,"Fossil of horseshoe crab in limestone matrix. Seems like it has been consolidated previous. It´s quite dark patina gives hints of an old specimen, that might have been used for illustration in exhibition or teaching. Matrix thick and stable, fossil seems to be in excellent condition."
SNMexh79922,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Stem-group mollusc(?) (Halkieria evangelista),geology,75g,Rod and Clasp or Shelf,Fossil and shale in good condition. Residues of what is believed to be silicone on back side and edges (from moulding/casting).
SNMexh79923,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Fossil ophiuroid (brittlestar),geology,188,Rod and Clasp,Super condition. Nothing to report.
SNMexh79924,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,"Magnolia ""cone"" fossil",geology,221,Rod and Clasp,"Excellent condition, but friable specimen and matrix. Thin cracking in matrix, but stable."
SNMexh79925,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Trace fossil (burrow) (Zoophycos sp.),geology,2750,Shelf,"Flint trace fossil in good condition, with several minor breakage points and one larger especially occurring along the spiral form. One former break has been repaired with unidentified adhesive that turns a bit yellow."
SNMexh79926,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Trace fossils (burrows) (Chondrites in Thalassinoides suevicus),geology,119,Rod and Clasp,"Excellent condition, minor fissures on the assumed back for display. Minor areas of breakage appears to be from collecting event. One clean cut seems to be processed."
SNMexh79927,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Cylindrical coprolite,geology,25,Rod and Clasp,Large cylindrical coproliteical coprolite in excellent condition. Natural occurring breaks from collecting event
SNMexh79928,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Large cylindrical coprolite,geology,107,Rod and Clasp,Large cylindrical coprolite in excellent condition. With natural occurring breakage/end.
SNMexh79929,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Cylindrical coprolite with tapered end,geology,23,Rod and Clasp,Cylindrical coprolite with tapered end in excellent condition.
SNMexh79930,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Cylindrical coprolite with tapered end,geology,43,Rod and Clasp,Cylindrical coprolite in excellent condition.
SNMexh79931,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Termite fossil (Electrotermes affinis) in amber,geology,,Consider to separate amber specimens from rest of specimens in case to keep constant RH/Temp and use oxygen scavengers in case to avoid disturbing shinny amber appearance.,Amber piece with embedded termite. Amber surfaces polished to different degree. One side seems sticky!?
SNMexh79932,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Fossil arachnid/mite (nymph) in amber,geology,,Consider to separate amber specimens from rest of specimens in case to keep constant RH/Temp and use oxygen scavengers in case to avoid disturbing shinny amber appearance.,Amber piece with embedded mite nymph. Amber surfaces rough or polished. Polished side with natural occurring marks.
SNMexh79933,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Fossil click beetle in amber,,,Consider to separate amber specimens from rest of specimens in case to keep constant RH/Temp and use oxygen scavengers in case to avoid disturbing shinny amber appearance.,Amber piece with embedded beetle. Amber surfaces rough or polished.
SNMexh79934,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Fossil soft-winged flower beetle in amber,geology,3,Consider to separate amber specimens from rest of specimens in case to keep constant RH/Temp and use oxygen scavengers in case to avoid disturbing shinny amber appearance.,
SNMexh79935,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Fossil moss scorpion (pseudoscorpion) and stilt fly (long-legged fly) in amber,geology,,Consider to separate amber specimens from rest of specimens in case to keep constant RH/Temp and use oxygen scavengers in case to avoid disturbing shinny amber appearance.,"0,5 x 1,0 cm large amber piece with embedded moss scorpion. Amber polished, abrasion points or superficial cracking"
SNMexh79936,3.6 Earth,3.6C. Fossils,3.6C.2 What Is A Fossil?,3.6_SC182,Partially articulated skeleton of small ruminant (Leptomeryx evansi),geology,2101,Rod and Clasp,The fossil is in good condition. Bone and teeth are stable in matrix. Some fillers can benefit from smoothing out and being retouched. Old adhesive can also be reduced in appearance if visible in display angle.
